States/UTs,District,Year,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnapping & Abduction,Kidnapping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Other Kidnapping,Dacoity,Dacoity with Murder,Other Dacoity,Robbery,Criminal Trespass/Burglary,Criminal Trespass or Burglary,House Trespass & House Breaking,Theft,Auto Theft,Other Thefts,Unlawful Assembly,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Counterfeit Offences related to Counterfeit Coin,Counterfeiting Government Stamp,Counterfeit currency & Bank notes,Counterfeiting currency notes/Bank notes,Using forged or counterfeiting currency/Bank notes,Possession of forged or counterfeiting currency/Bank notes,Making or Possessing materials for forged currency/Bank notes,Making or Using documents resembling currency,Arson,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Sexual Harassment,Assault or use of criminal force to women with intent to Disrobe,Voyeurism,Stalking,Other Assault on Women,Insult to the Modesty of Women,At Office premises,Other places related to work,In Public Transport system,Cruelty by Husband or his Relatives,Deaths due to negligent driving/act,Extortion,Incidence of Rash Driving,HumanTrafficking
Andhra Pradesh,Anantapur,2014,134,171,8,0,35,0,0,0,35,0,35,1,125,0,0,0,88,37,6,0,6,30,415,315,100,753,240,513,0,13,296,0,10,0,0,10,10,0,0,0,0,12,25,24,1,0,25,436,82,34,4,80,236,26,0,0,0,165,638,0,1038,0
Andhra Pradesh,Chittoor,2014,84,170,2,0,32,0,0,0,32,1,31,0,38,4,0,3,28,3,12,0,12,22,195,154,41,528,192,336,0,7,207,0,5,0,0,5,0,5,0,0,0,23,18,18,0,0,17,135,0,0,0,0,135,94,0,0,0,278,538,19,249,0
Andhra Pradesh,Cuddapah,2014,80,162,1,0,28,0,0,0,28,0,28,4,27,0,0,0,11,16,3,0,3,16,144,144,0,638,193,445,0,86,163,0,5,0,0,5,5,0,0,0,0,0,39,39,0,0,16,215,212,0,0,0,3,12,1,11,0,91,417,0,948,0
Andhra Pradesh,East Godavari,2014,64,84,2,0,85,0,0,0,85,0,85,18,66,0,0,0,0,66,3,0,3,24,346,295,51,903,347,556,0,96,214,0,22,0,0,22,0,22,0,0,0,50,44,43,0,1,7,519,159,61,11,55,233,62,0,0,0,464,642,32,39,0
Andhra Pradesh,Guntakal Railway,2014,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,413,0,413,0,0,5,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Andhra Pradesh,Guntur,2014,105,137,4,0,49,0,0,0,49,0,49,24,64,12,2,0,0,50,5,0,5,24,210,155,55,711,200,511,0,22,328,16,5,0,0,5,0,0,4,1,0,52,37,37,0,0,16,245,17,7,3,8,210,347,0,0,0,454,494,18,846,0
Andhra Pradesh,Guntur Urban,2014,51,65,0,0,40,0,0,0,40,1,39,8,84,0,0,0,0,84,5,0,5,31,173,121,52,1045,367,678,0,23,531,22,2,0,0,2,0,0,2,0,0,35,29,29,0,0,12,160,0,0,0,0,160,452,0,0,0,345,226,20,691,0
Andhra Pradesh,Krishna,2014,51,47,1,0,80,0,0,0,80,1,79,20,41,20,0,0,19,2,0,0,0,15,302,247,55,521,141,380,0,24,242,0,11,0,0,11,11,0,0,0,0,23,39,39,0,0,8,354,98,44,13,76,123,232,2,0,0,613,418,15,70,0
Andhra Pradesh,Kurnool,2014,118,135,5,0,32,0,0,0,32,1,31,4,53,4,0,1,16,32,3,0,3,28,244,170,74,563,9,554,0,20,639,0,4,0,0,4,4,0,0,0,0,33,9,9,0,0,12,403,81,18,2,40,262,251,0,0,0,362,495,27,1313,0
Andhra Pradesh,Nellore,2014,78,117,4,0,58,0,0,0,58,3,55,16,153,71,1,1,64,16,8,0,8,44,381,323,58,1058,362,696,0,255,239,32,2,0,0,2,0,2,0,0,0,45,31,28,1,2,14,295,79,14,8,32,162,205,0,62,56,362,440,17,1173,1
Andhra Pradesh,Prakasham,2014,75,68,7,0,50,0,0,0,50,2,48,8,50,17,0,0,11,22,5,0,5,23,247,195,52,617,209,408,31,98,261,48,1,0,0,1,0,1,0,0,0,28,18,18,0,0,8,197,24,3,7,13,150,16,0,0,0,402,490,11,785,0
Andhra Pradesh,Rajahmundry,2014,18,18,1,0,35,0,0,0,35,1,34,3,15,5,0,1,2,7,3,0,3,14,214,195,19,361,155,206,0,56,105,7,3,0,0,3,1,2,0,0,0,13,23,23,0,0,3,121,37,6,0,17,61,27,0,0,0,190,128,5,394,0
Andhra Pradesh,Srikakulam,2014,30,29,4,0,40,0,0,0,40,1,39,3,33,26,1,0,5,1,0,0,0,8,152,131,21,236,52,184,0,12,153,10,1,0,0,1,1,0,0,0,0,18,67,66,1,0,3,214,26,45,0,22,121,91,0,6,6,298,259,4,895,0
Andhra Pradesh,Tirupathi Urban,2014,35,72,2,0,18,0,0,0,18,1,17,5,24,3,0,0,9,12,2,0,2,8,227,178,49,1148,482,666,0,11,248,0,7,0,0,7,0,5,2,0,0,11,3,3,0,0,13,60,2,2,0,5,51,21,0,0,0,167,221,0,429,0
Andhra Pradesh,Vijayawada City,2014,23,45,1,1,64,0,0,0,64,0,64,4,42,13,1,1,11,16,3,1,2,48,345,106,239,2016,685,1331,25,68,391,46,12,0,0,12,0,12,0,0,0,21,25,25,0,0,10,279,40,15,9,91,124,212,0,0,1,642,312,34,1366,1
Andhra Pradesh,Vijayawada Railway,2014,1,1,1,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,7,0,0,0,1085,3,1082,0,1,7,0,39,0,0,39,0,39,0,0,0,0,0,0,0,0,2,8,4,0,1,0,3,6,0,4,2,1,1,1,0,0
