Region,Type,Population,Population Percent,Area,Area Percent,Density,Literacy Rate,Rate,Cases
Northern,Arson,11.8,0.088216384,44,0.003466723,9258,86.43,0.338983051,4
Northern,Attempt to Commit Murder,11.8,0.088216384,44,0.003466723,9258,86.43,2.881355932,34
Northern,Dowry Deaths,11.8,0.088216384,44,0.003466723,9258,86.43,0.508474576,6
Northern,Murder,11.8,0.088216384,44,0.003466723,9258,86.43,2.203389831,26
Northern,Rape,11.8,0.088216384,44,0.003466723,9258,86.43,9.491525424,112
Northern,Rioting,11.8,0.088216384,44,0.003466723,9258,86.43,3.898305085,46
Northern,Robbery,11.8,0.088216384,44,0.003466723,9258,86.43,2.796610169,33
Northern,Arson,199.4,1.490707376,573,0.045146193,11320,86.34,0.446339017,89
Northern,Attempt to Commit Murder,199.4,1.490707376,573,0.045146193,11320,86.34,2.442326981,487
Northern,Dowry Deaths,199.4,1.490707376,573,0.045146193,11320,86.34,0.581745236,116
Northern,Murder,199.4,1.490707376,573,0.045146193,11320,86.34,2.612838516,521
Northern,Rape,199.4,1.490707376,573,0.045146193,11320,86.34,6.283851555,1253
Northern,Rioting,199.4,1.490707376,573,0.045146193,11320,86.34,0.115346038,23
Northern,Robbery,199.4,1.490707376,573,0.045146193,11320,86.34,9.809428285,1956
Northern,Arson,288.1,2.153825451,17070,1.344931099,573,76.64,1.017007983,293
Northern,Attempt to Commit Murder,288.1,2.153825451,17070,1.344931099,573,76.64,3.203748698,923
Northern,Dowry Deaths,288.1,2.153825451,17070,1.344931099,573,76.64,0.860812218,248
Northern,Murder,288.1,2.153825451,17070,1.344931099,573,76.64,3.946546338,1137
Northern,Rape,288.1,2.153825451,17070,1.344931099,573,76.64,5.137105172,1480
Northern,Rioting,288.1,2.153825451,17070,1.344931099,573,76.64,7.872266574,2268
Northern,Robbery,288.1,2.153825451,17070,1.344931099,573,76.64,2.152030545,620
Northern,Arson,73.2,0.547240621,21495,1.693573168,123,83.78,0.887978142,65
Northern,Attempt to Commit Murder,73.2,0.547240621,21495,1.693573168,123,83.78,0.737704918,54
Northern,Dowry Deaths,73.2,0.547240621,21495,1.693573168,123,83.78,0.054644809,4
Northern,Murder,73.2,0.547240621,21495,1.693573168,123,83.78,0.956284153,70
Northern,Rape,73.2,0.547240621,21495,1.693573168,123,83.78,4.904371585,359
Northern,Rioting,73.2,0.547240621,21495,1.693573168,123,83.78,5.081967213,372
Northern,Robbery,73.2,0.547240621,21495,1.693573168,123,83.78,0.163934426,12
Northern,Arson,135.3,1.011498034,85806,6.760583355,56,68.72,1.308203991,177
Northern,Attempt to Commit Murder,135.3,1.011498034,85806,6.760583355,56,68.72,3.10421286,420
Northern,Dowry Deaths,135.3,1.011498034,85806,6.760583355,56,68.72,0.059127864,8
Northern,Murder,135.3,1.011498034,85806,6.760583355,56,68.72,0.879526977,119
Northern,Rape,135.3,1.011498034,53645,4.226644921,56,68.72,1.648189209,223
Northern,Rioting,135.3,1.011498034,53645,4.226644921,56,68.72,7.553584627,1022
Northern,Robbery,135.3,1.011498034,53645,4.226644921,56,68.72,0.539541759,73
Northern,Arson,299.4,2.238303853,19445,1.532055373,551,76.68,0.267201069,80
Northern,Attempt to Commit Murder,299.4,2.238303853,19445,1.532055373,551,76.68,2.805611222,840
Northern,Dowry Deaths,299.4,2.238303853,19445,1.532055373,551,76.68,0.230460922,69
Northern,Murder,299.4,2.238303853,19445,1.532055373,551,76.68,2.267869071,679
Northern,Rape,299.4,2.238303853,19445,1.532055373,551,76.68,3.346693387,1002
Northern,Rioting,299.4,2.238303853,19445,1.532055373,551,76.68,0,0
Northern,Robbery,299.4,2.238303853,19445,1.532055373,551,76.68,0.303941216,91
Northern,Arson,776,5.801348664,132139,10.41112188,200,67.06,0.565721649,439
Northern,Attempt to Commit Murder,776,5.801348664,132139,10.41112188,200,67.06,2.454896907,1905
Northern,Dowry Deaths,776,5.801348664,132139,10.41112188,200,67.06,0.582474227,452
Northern,Murder,776,5.801348664,132139,10.41112188,200,67.06,2.137886598,1659
Northern,Rape,776,5.801348664,132139,10.41112188,200,67.06,7.728092784,5997
Northern,Rioting,776,5.801348664,132139,10.41112188,200,67.06,0.505154639,392
Northern,Robbery,776,5.801348664,132139,10.41112188,200,67.06,1.831185567,1421
Northern,Arson,2259.7,16.8934376,93023,7.329204781,829,69.72,0.273045094,617
Northern,Attempt to Commit Murder,2259.7,16.8934376,93023,7.329204781,829,69.72,2.033898305,4596
Northern,Dowry Deaths,2259.7,16.8934376,93023,7.329204781,829,69.72,1.066513254,2410
Northern,Murder,2259.7,16.8934376,93023,7.329204781,829,69.72,1.684294375,3806
Northern,Rape,2259.7,16.8934376,93023,7.329204781,829,69.72,1.35637474,3065
Northern,Rioting,2259.7,16.8934376,93023,7.329204781,829,69.72,2.528654246,5714
Northern,Robbery,2259.7,16.8934376,93023,7.329204781,829,69.72,0.991724565,2241
Northern,Arson,111.8,0.835812862,20650,1.626996321,189,79.63,0.053667263,6
Northern,Attempt to Commit Murder,111.8,0.835812862,20650,1.626996321,189,79.63,1.440071556,161
Northern,Dowry Deaths,111.8,0.835812862,20650,1.626996321,189,79.63,0.509838998,57
Northern,Murder,111.8,0.835812862,20650,1.626996321,189,79.63,1.779964222,199
Northern,Rape,111.8,0.835812862,20650,1.626996321,189,79.63,4.704830054,526
Northern,Rioting,111.8,0.835812862,20650,1.626996321,189,79.63,4.660107335,521
Northern,Robbery,111.8,0.835812862,20650,1.626996321,189,79.63,1.56529517,175
Western,Arson,5.6,0.041865403,190,0.014969942,700,77.65,0.178571429,1
Western,Attempt to Commit Murder,5.6,0.041865403,190,0.014969942,700,77.65,0.357142857,2
Western,Dowry Deaths,5.6,0.041865403,190,0.014969942,700,77.65,0.535714286,3
Western,Murder,5.6,0.041865403,190,0.014969942,700,77.65,1.25,7
Western,Rape,5.6,0.041865403,190,0.014969942,700,77.65,0,0
Western,Rioting,5.6,0.041865403,190,0.014969942,700,77.65,1.964285714,11
Western,Robbery,5.6,0.041865403,190,0.014969942,700,77.65,0.535714286,3
Western,Arson,4.2,0.031399052,40,0.003151567,2191,87.07,0.238095238,1
Western,Attempt to Commit Murder,4.2,0.031399052,40,0.003151567,2191,87.07,2.142857143,9
Western,Dowry Deaths,4.2,0.031399052,40,0.003151567,2191,87.07,0.476190476,2
Western,Murder,4.2,0.031399052,40,0.003151567,2191,87.07,1.428571429,6
Western,Rape,4.2,0.031399052,40,0.003151567,2191,87.07,0.952380952,4
Western,Rioting,4.2,0.031399052,40,0.003151567,2191,87.07,0.238095238,1
Western,Robbery,4.2,0.031399052,40,0.003151567,2191,87.07,1.428571429,6
Western,Arson,15.4,0.115129858,1429,0.112589721,394,87.4,0.649350649,10
Western,Attempt to Commit Murder,15.4,0.115129858,1429,0.112589721,394,87.4,2.142857143,33
Western,Dowry Deaths,15.4,0.115129858,1429,0.112589721,394,87.4,0.064935065,1
Western,Murder,15.4,0.115129858,1429,0.112589721,394,87.4,2.142857143,33
Western,Rape,15.4,0.115129858,1429,0.112589721,394,87.4,4.675324675,72
Western,Rioting,15.4,0.115129858,1429,0.112589721,394,87.4,6.688311688,103
Western,Robbery,15.4,0.115129858,1429,0.112589721,394,87.4,0.714285714,11
Western,Arson,682.5,5.102345958,75685,5.963158185,308,79.31,0.263736264,180
Western,Attempt to Commit Murder,682.5,5.102345958,75685,5.963158185,308,79.31,1.333333333,910
Western,Dowry Deaths,682.5,5.102345958,75685,5.963158185,308,79.31,0.013186813,9
Western,Murder,682.5,5.102345958,75685,5.963158185,308,79.31,1.454945055,993
Western,Rape,682.5,5.102345958,75685,5.963158185,308,79.31,0.773626374,528
Western,Rioting,682.5,5.102345958,75685,5.963158185,308,79.31,1.982417582,1353
Western,Robbery,682.5,5.102345958,75685,5.963158185,308,79.31,1.516483516,1035
