continent,country,year,pop,lifeExp,gdpPercap
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2001,10143700,55.5,0.276033400041405
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2002,10384222.6,56.824,0.404459742609909
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2003,10624745.2,58.148,0.461187530407788
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2004,10865267.8,59.472,0.322127357044987
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2005,11105790.4,60.796,0.513245774924764
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2006,11346313,62.12,0.749142034068688
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2007,11586835.6,63.444,0.224392585668515
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2008,11827358.2,64.768,0.084549734868096
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2009,12067880.8,66.092,0.149156262796364
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2010,12308403.4,67.416,0.138117020116517
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2011,12548926,68.74,0.199220236058448
JAMMU AND KASHMIR,JAMMU AND KASHMIR,2012,12789448.6,70.064,0.31275781506327
HIMACHAL PRADESH,HIMACHAL PRADESH,2001,6077900,76.5,1.34915019990457
HIMACHAL PRADESH,HIMACHAL PRADESH,2002,6155760.9,77.228,1.47829003559901
HIMACHAL PRADESH,HIMACHAL PRADESH,2003,6233621.8,77.956,1.74858218058721
HIMACHAL PRADESH,HIMACHAL PRADESH,2004,6311482.7,78.684,1.45766065396963
HIMACHAL PRADESH,HIMACHAL PRADESH,2005,6389343.6,79.412,2.05028885909344
HIMACHAL PRADESH,HIMACHAL PRADESH,2006,6467204.5,80.14,2.10291788360798
HIMACHAL PRADESH,HIMACHAL PRADESH,2007,6545065.4,80.868,2.30708160685453
HIMACHAL PRADESH,HIMACHAL PRADESH,2008,6622926.3,81.596,3.09530848923987
HIMACHAL PRADESH,HIMACHAL PRADESH,2009,6700787.2,82.324,3.29811995820431
HIMACHAL PRADESH,HIMACHAL PRADESH,2010,6778648.1,83.052,3.62904219795685
HIMACHAL PRADESH,HIMACHAL PRADESH,2011,6856509,83.78,3.80660187276061
HIMACHAL PRADESH,HIMACHAL PRADESH,2012,6934369.9,84.508,3.83596496633385
PUNJAB,PUNJAB,2001,24358999,69.7,0.504946857627442
PUNJAB,PUNJAB,2002,24693522.7,70.398,0.651992840211494
PUNJAB,PUNJAB,2003,25028046.4,71.096,0.735175239246799
PUNJAB,PUNJAB,2004,25362570.1,71.794,0.760963889854365
PUNJAB,PUNJAB,2005,25697093.8,72.492,0.817213034417145
PUNJAB,PUNJAB,2006,26031617.5,73.19,1.26384770366267
PUNJAB,PUNJAB,2007,26366141.2,73.888,1.99877561150283
PUNJAB,PUNJAB,2008,26700664.9,74.586,1.45689255850704
PUNJAB,PUNJAB,2009,27035188.6,75.284,2.69648572009592
PUNJAB,PUNJAB,2010,27369712.3,75.982,2.29085345555496
PUNJAB,PUNJAB,2011,27704236,76.68,2.24514402779416
PUNJAB,PUNJAB,2012,28038759.7,77.378,3.12781310365879
CHANDIGARH,CHANDIGARH,2001,900635,81.9,6.43990073670244
CHANDIGARH,CHANDIGARH,2002,916040.1,82.353,5.34911080857705
CHANDIGARH,CHANDIGARH,2003,931445.2,82.806,4.29440186067844
CHANDIGARH,CHANDIGARH,2004,946850.3,83.259,6.97047886028024
CHANDIGARH,CHANDIGARH,2005,962255.4,83.712,5.92358328152796
CHANDIGARH,CHANDIGARH,2006,977660.5,84.165,6.54623972227578
CHANDIGARH,CHANDIGARH,2007,993065.6,84.618,5.33700895489684
CHANDIGARH,CHANDIGARH,2008,1008470.7,85.071,6.54456297044624
CHANDIGARH,CHANDIGARH,2009,1023875.8,85.524,6.93443482109842
CHANDIGARH,CHANDIGARH,2010,1039280.9,85.977,5.67700224260833
CHANDIGARH,CHANDIGARH,2011,1054686,86.43,7.016306275043
CHANDIGARH,CHANDIGARH,2012,1070091.1,86.883,8.97119880727912
UTTARAKHAND,UTTARAKHAND,2001,8489349,71.6,0.541855447337599
UTTARAKHAND,UTTARAKHAND,2002,8652089.3,72.403,0.312063353298954
UTTARAKHAND,UTTARAKHAND,2003,8814829.6,73.206,0.260923932097337
UTTARAKHAND,UTTARAKHAND,2004,8977569.9,74.009,0.634915691383255
UTTARAKHAND,UTTARAKHAND,2005,9140310.2,74.812,0.831481627395972
UTTARAKHAND,UTTARAKHAND,2006,9303050.5,75.615,0.548207278892015
UTTARAKHAND,UTTARAKHAND,2007,9465790.8,76.418,1.06700012850485
UTTARAKHAND,UTTARAKHAND,2008,9628531.1,77.221,0.39466040671562
UTTARAKHAND,UTTARAKHAND,2009,9791271.4,78.024,0.337034881905122
UTTARAKHAND,UTTARAKHAND,2010,9954011.7,78.827,0.311432223854027
UTTARAKHAND,UTTARAKHAND,2011,10116752,79.63,0.820421415885256
UTTARAKHAND,UTTARAKHAND,2012,10279492.3,80.433,1.18682904213081
HARYANA,HARYANA,2001,21144564,67.9,1.71675329886206
HARYANA,HARYANA,2002,21565415.7,68.774,1.08970772123813
HARYANA,HARYANA,2003,21986267.4,69.648,1.30536027229433
HARYANA,HARYANA,2004,22407119.1,70.522,0.73191024365109
HARYANA,HARYANA,2005,22827970.8,71.396,1.6383409777272
HARYANA,HARYANA,2006,23248822.5,72.27,1.9871974161272
HARYANA,HARYANA,2007,23669674.2,73.144,1.37306494907311
HARYANA,HARYANA,2008,24090525.9,74.018,1.11662153460917
HARYANA,HARYANA,2009,24511377.6,74.892,1.44014753377223
HARYANA,HARYANA,2010,24932229.3,75.766,1.21529445423478
HARYANA,HARYANA,2011,25353081,76.64,1.10440226180006
HARYANA,HARYANA,2012,25773932.7,77.514,3.93808741496403
DELHI,DELHI,2001,13850507,81.7,6.58459650610624
DELHI,DELHI,2002,14140779.8,82.164,4.9290068147444
DELHI,DELHI,2003,14431052.6,82.628,3.57562275117755
DELHI,DELHI,2004,14721325.4,83.092,5.2033358355084
DELHI,DELHI,2005,15011598.2,83.556,6.8347153069951
DELHI,DELHI,2006,15301871,84.02,14.1159208569985
DELHI,DELHI,2007,15592143.8,84.484,12.9488287556712
DELHI,DELHI,2008,15882416.6,84.948,11.6732865450715
DELHI,DELHI,2009,16172689.4,85.412,17.5542850652904
DELHI,DELHI,2010,16462962.2,85.876,22.0494948351397
DELHI,DELHI,2011,16753235,86.34,25.3682348513586
DELHI,DELHI,2012,17043507.8,86.804,26.1800566665038
RAJASTHAN,RAJASTHAN,2001,56507188,60.4,0.385791627075833
RAJASTHAN,RAJASTHAN,2002,57718570.4,61.066,0.353439107355299
RAJASTHAN,RAJASTHAN,2003,58929952.8,61.732,0.407263180431395
RAJASTHAN,RAJASTHAN,2004,60141335.2,62.398,0.670088215800038
RAJASTHAN,RAJASTHAN,2005,61352717.6,63.064,0.945353397027029
RAJASTHAN,RAJASTHAN,2006,62564100,63.73,1.52004104590332
RAJASTHAN,RAJASTHAN,2007,63775482.4,64.396,1.96313685586485
RAJASTHAN,RAJASTHAN,2008,64986864.8,65.062,1.88191875968142
RAJASTHAN,RAJASTHAN,2009,66198247.2,65.728,2.12543391934402
RAJASTHAN,RAJASTHAN,2010,67409629.6,66.394,1.95521026865277
RAJASTHAN,RAJASTHAN,2011,68621012,67.06,2.17280386363291
RAJASTHAN,RAJASTHAN,2012,69832394.4,67.726,2.58762429031074
UTTAR PRADESH,UTTAR PRADESH,2001,166197921,56.3,2.23167653222329
UTTAR PRADESH,UTTAR PRADESH,2002,169536276.6,57.642,1.07705562291439
UTTAR PRADESH,UTTAR PRADESH,2003,172874632.2,58.984,0.98452848653407
UTTAR PRADESH,UTTAR PRADESH,2004,176212987.8,60.326,1.09015800934056
UTTAR PRADESH,UTTAR PRADESH,2005,179551343.4,61.668,1.00305570868817
UTTAR PRADESH,UTTAR PRADESH,2006,182889699,63.01,0.96615610920766
UTTAR PRADESH,UTTAR PRADESH,2007,186228054.6,64.352,1.20712209813311
UTTAR PRADESH,UTTAR PRADESH,2008,189566410.2,65.694,2.15122499587219
UTTAR PRADESH,UTTAR PRADESH,2009,192904765.8,67.036,1.59923472455754
UTTAR PRADESH,UTTAR PRADESH,2010,196243121.4,68.378,1.18832190568693
UTTAR PRADESH,UTTAR PRADESH,2011,199581477,69.72,2.75576675885608
UTTAR PRADESH,UTTAR PRADESH,2012,202919832.6,71.062,2.97309529714248
BIHAR,BIHAR,2001,82998509,47,0.100001796417813
BIHAR,BIHAR,2002,85079121.8,48.682,0.066996460229095
BIHAR,BIHAR,2003,87159734.6,50.364,0.064249851444591
BIHAR,BIHAR,2004,89240347.4,52.046,0.066113592919518
BIHAR,BIHAR,2005,91320960.2,53.728,0.1259294687092
BIHAR,BIHAR,2006,93401573,55.41,0.070662621495679
BIHAR,BIHAR,2007,95482185.8,57.092,0.706938152226507
BIHAR,BIHAR,2008,97562798.6,58.774,0.785135329236035
BIHAR,BIHAR,2009,99643411.4,60.456,1.01963590540016
BIHAR,BIHAR,2010,101724024.2,62.138,1.8117647374788
BIHAR,BIHAR,2011,103804637,63.82,2.15115631106152
BIHAR,BIHAR,2012,105885249.8,65.502,2.7331474454339
SIKKIM,SIKKIM,2001,540851,68.8,0.924469031211923
SIKKIM,SIKKIM,2002,547534.7,70.14,1.09582095892735
SIKKIM,SIKKIM,2003,554218.4,71.48,2.70651425503015
SIKKIM,SIKKIM,2004,560902.1,72.82,1.42627385420736
SIKKIM,SIKKIM,2005,567585.8,74.16,4.40462041157478
SIKKIM,SIKKIM,2006,574269.5,75.5,6.09469943989712
SIKKIM,SIKKIM,2007,580953.2,76.84,5.3360580508034
SIKKIM,SIKKIM,2008,587636.9,78.18,4.0841546880395
SIKKIM,SIKKIM,2009,594320.6,79.52,6.7303741448639
SIKKIM,SIKKIM,2010,601004.3,80.86,4.82525665789746
SIKKIM,SIKKIM,2011,607688,82.2,4.77218572688617
SIKKIM,SIKKIM,2012,614371.7,83.54,4.88303741855297
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2001,1097968,54.3,0
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2002,1126432.3,55.565,0.532655180431172
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2003,1154896.6,56.83,1.55858108855806
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2004,1183360.9,58.095,1.85911162013212
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2005,1211825.2,59.36,1.81544334942036
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2006,1240289.5,60.625,2.17691111631599
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2007,1268753.8,61.89,0.31526999170367
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2008,1297218.1,63.155,1.85011294554092
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2009,1325682.4,64.42,2.48928400950333
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2010,1354146.7,65.685,1.47694485390689
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2011,1382611,66.95,2.53144232180997
ARUNACHAL PRADESH,ARUNACHAL PRADESH,2012,1411075.3,68.215,2.76384966840536
NAGALAND,NAGALAND,2001,1990036,66.6,0
NAGALAND,NAGALAND,2002,1989092.6,67.951,0
NAGALAND,NAGALAND,2003,1988149.2,69.302,0
NAGALAND,NAGALAND,2004,1987205.8,70.653,0.050321914318084
NAGALAND,NAGALAND,2005,1986262.4,72.004,0
